"SiteCode","ANAPAR_M","ANAPAR_S","APHSPI_M","APHSPI_S","CARBAR_M","CARBAR_S","CARPLA_M","CARPLA_S","CINFUS_M","CINFUS_S","CINPAT_M","CINPAT_S","CISPLA_M","CISPLA_S","ELAALB_M","ELAALB_S","MILCHI_M","MILCHI_S","MUSMAC_M","MUSMAC_S","PHRPAT_M","PHRPAT_S","PYGALB_M","PYGALB_S","SCYMAG_M","SCYMAG_S","SEPSEP_M","SEPSEP_S","TACMEY_M","TACMEY_S","TROMUS_M","TROMUS_S","TURFAL_M","TURFAL_S","ZONCAP_M","ZONCAP_S"
"AB",0.363636363636364,0.243934688454523,1.36363636363636,0.576395181241722,0,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,2.54545454545455,0.207304622745298,0,0,0.0909090909090909,0.0909090909090909,1.36363636363636,0.363636363636364,0.545454545454545,0.281671516087812,0,0,0,0,0,0,1.27272727272727,0.359062139238755,1.18181818181818,0.67174375279677,0.181818181818182,0.121967344227261
"ACC",0,0,1.8,0.553774924194538,0,0,0,0,0,0,0,0,0,0,2.4,0.4,0,0,0,0,0.4,0.305505046330389,0,0,0,0,0,0,0,0,0.5,0.268741924943285,0.2,0.133333333333333,0.4,0.305505046330389
"AIF",0,0,0.444444444444444,0.293972367896066,0,0,0,0,0,0,0,0,0,0,1.22222222222222,0.364302140239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111
"ARF",0,0,1,0.52704627669473,0,0,0,0,0,0,0,0,0,0,1.44444444444444,0.337931251683234,0,0,0,0,0.333333333333333,0.235702260395516,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0.111111111111111,0.111111111111111
"ESE",0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0
"HC",0,0,1.5,0.453382350291181,0.2,0.2,0.1,0.1,0,0,0,0,0,0,0.3,0.3,0.2,0.133333333333333,0,0,0.1,0.1,0.2,0.2,0,0,0,0,0.3,0.213437474581095,0,0,0.5,0.341565025531987,0.8,0.416333199893227
"HCO",0,0,0,0,0.2,0.2,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.221108319357027
"ICL",0,0,1.5,0.582141639885766,1.2,0.3590109871423,0,0,0,0,0,0,0,0,2,0.516397779494322,0.3,0.152752523165195,0,0,1.1,0.458257569495584,0.5,0.268741924943285,0,0,0,0,0.2,0.2,0.6,0.6,0.3,0.213437474581095,0.4,0.221108319357027
"PBO",0,0,1.1,0.585946527708232,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0.2,0.2,0.5,0.223606797749979,0.1,0.1,0,0,0.2,0.133333333333333,0,0,0,0
"PCF",0,0,1.22222222222222,0.338736170453593,0.111111111111111,0.111111111111111,0,0,0,0,0.0555555555555556,0.0555555555555556,0,0,0.888888888888889,0.227071277987454,0,0,0,0,0.0555555555555556,0.0555555555555556,0,0,0.333333333333333,0.161690416690889,0,0,0,0,0.111111111111111,0.111111111111111,0,0,0,0
"PPN",0,0,1,0.394405318873308,0,0,0,0,0,0,0,0,0,0,0.6,0.305505046330389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.133333333333333,0.1,0.1,0,0
"PPS",0,0,0.3,0.213437474581095,0,0,0,0,0,0,0,0,0,0,1,0.298142396999972,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0.2,0.2,0.1,0.1
"PTM",0,0,0.3,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.221108319357027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,1.1,0.62271805640898
"PTT",0,0,0.5,0.341565025531987,0,0,0,0,0,0,0,0,0,0,0.8,0.290593262902712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.341565025531987
"PUL",0,0,0,0,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0,0.333333333333333,0.14213381090374,0,0,0,0,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0,0.0833333333333333,0.0833333333333333,0,0,0,0
