"SiteCode","CAL_M","CAL_S","CAN_M","CAN_S","CHA_M","CHA_S","COI_M","COI_S","COM_M","COM_S","EMP_M","EMP_S","GRA_M","GRA_S","GUN_M","GUN_S","JUN_M","JUN_S","LDU_M","LDU_S","LEN_M","LEN_S","MAT_M","MAT_S","MIC_M","MIC_S","MUS_M","MUS_S","NIR_M","NIR_S","NOT_M","NOT_S","ZAS_M","ZAS_S"
"AB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACC",0.1,0.1,0.5,0.166666666666667,0.9,0.1,1,0,0.2,0.133333333333333,0.3,0.152752523165195,0.7,0.152752523165195,0.6,0.163299316185545,0.4,0.163299316185545,0,0,0,0,0.3,0.152752523165195,0,0,0.1,0.1,0,0,0.2,0.133333333333333,0,0
"AIF",0,0,0.333333333333333,0.166666666666667,0.444444444444444,0.175682092231577,1,0,0,0,0.222222222222222,0.146986183948033,0,0,0.333333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0.222222222222222,0.146986183948033,0,0,0,0,0,0
"ARF",0,0,0.333333333333333,0.166666666666667,0.777777777777778,0.146986183948033,1,0,0,0,0.222222222222222,0.146986183948033,0,0,0.777777777777778,0.146986183948033,0,0,0,0,0,0,0.111111111111111,0.111111111111111,0,0,0,0,0.555555555555556,0.175682092231577,0,0,0.111111111111111,0.111111111111111
"ESE",0,0,0.2,0.133333333333333,0.4,0.163299316185545,1,0,0,0,0.9,0.1,0.1,0.1,0.3,0.152752523165195,0.8,0.133333333333333,0,0,0,0,0.3,0.152752523165195,0.2,0.133333333333333,0.4,0.163299316185545,0,0,0,0,0,0
"HC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HCO",0,0,0.7,0.152752523165195,0,0,0.9,0.1,0,0,0,0,0.7,0.152752523165195,0.4,0.163299316185545,0.6,0.163299316185545,0,0,0,0,0.5,0.166666666666667,0.2,0.133333333333333,0.3,0.152752523165195,0,0,0,0,0,0
"ICL",0.1,0.1,1,0,0.2,0.133333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0
"PBO",0.1,0.1,0.1,0.1,0.8,0.133333333333333,1,0,0,0,0.1,0.1,0.2,0.133333333333333,0.3,0.152752523165195,0.5,0.166666666666667,0,0,0,0,0.5,0.166666666666667,0.1,0.1,0.3,0.152752523165195,0.4,0.163299316185545,0.1,0.1,0.2,0.133333333333333
"PCF",0.388888888888889,0.118235637353762,0.166666666666667,0.0903876907577734,0.666666666666667,0.114332390095006,1,0,0,0,0.111111111111111,0.0762215933966706,0,0,0.333333333333333,0.114332390095006,0.222222222222222,0.100831690330337,0,0,0,0,0.5,0.121267812518167,0,0,0.222222222222222,0.100831690330337,0.111111111111111,0.0762215933966706,0.166666666666667,0.0903876907577734,0.0555555555555556,0.0555555555555556
"PPN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTM",0,0,0,0,0.4,0.163299316185545,0.8,0.133333333333333,0,0,0,0,0.7,0.152752523165195,0.6,0.163299316185545,0,0,0,0,0,0,0.2,0.133333333333333,0,0,0,0,0.7,0.152752523165195,0,0,0,0
"PTT",0,0,0,0,0.7,0.152752523165195,1,0,0,0,0.4,0.163299316185545,0,0,0.5,0.166666666666667,0.5,0.166666666666667,0,0,0,0,0.2,0.133333333333333,0,0,0.7,0.152752523165195,0.3,0.152752523165195,0,0,0,0
"PUL",0.166666666666667,0.112366643743874,0,0,0.583333333333333,0.148647097502641,1,0,0,0,0,0,0.166666666666667,0.112366643743874,0.25,0.130558241966773,0.75,0.130558241966773,0,0,0,0,0.25,0.130558241966773,0,0,0.75,0.130558241966773,0.166666666666667,0.112366643743874,0,0,0,0
