"Abbr","Species","EnglishName","SpanishName","AB_M","AB_S","ACC_M","ACC_S","AIF_M","AIF_S","ARF_M","ARF_S","ESE_M","ESE_S","HC_M","HC_S","HCO_M","HCO_S","ICL_M","ICL_S","PBO_M","PBO_S","PCF_M","PCF_S","PPN_M","PPN_S","PPS_M","PPS_S","PTM_M","PTM_S","PTT_M","PTT_S","PUL_M","PUL_S"
"ANAPAR","Anairetes parulus","Tufted Tit Tyrant","Cachudito",0.363636363636364,0.243934688454523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TROMUS","Troglodytes musculus","Southern House Wren","Chercán ",1.27272727272727,0.359062139238755,0.5,0.268741924943285,0.111111111111111,0.111111111111111,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0.6,0.6,0.2,0.133333333333333,0.111111111111111,0.111111111111111,0.2,0.133333333333333,0,0,0.1,0.1,0,0,0.0833333333333333,0.0833333333333333
"CISPLA","Cistothorus platensis","Grass Wren","Chercán De Las Vegas",0.0909090909090909,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0
"ZONCAP","Zonotrichia capensis","Rufous-collared Sparrow","Chincol",0.181818181818182,0.121967344227261,0.4,0.305505046330389,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0,0,0.8,0.416333199893227,0.4,0.221108319357027,0.4,0.221108319357027,0,0,0,0,0,0,0.1,0.1,1.1,0.62271805640898,0.5,0.341565025531987,0,0
"CINFUS","Cinclodes fuscus","Bar-winged Cinclodes","Churrete acanelado",0.0909090909090909,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CINPAT","Cinclodes patagonicus","Dark-bellied Cinclodes","Churrete comun",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.0555555555555556,0.0555555555555556,0,0,0,0,0,0,0,0,0,0
"SCYMAG","Scytalopus magellanicus","Magellanic Tapaculo","Churrín Del Sur",0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0.5,0.223606797749979,0.333333333333333,0.161690416690889,0,0,0.2,0.2,0,0,0,0,0,0
"PYGALB","Pygarrhichas albogularis","White-throated Treerunner","Comesebo Grande",0.545454545454545,0.281671516087812,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0.5,0.268741924943285,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0
"PHRPAT","Phrygilus patagonicus","Patagonian-sierra Finch","Cometocino",1.36363636363636,0.363636363636364,0.4,0.305505046330389,0,0,0.333333333333333,0.235702260395516,0,0,0.1,0.1,0,0,1.1,0.458257569495584,0,0,0.0555555555555556,0.0555555555555556,0,0,0,0,0,0,0,0,0.0833333333333333,0.0833333333333333
"MUSMAC","Muscisaxicola macloviana","Dark-faced Ground-tyrant","Dormilona Tontito",0.0909090909090909,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELAALB","Elaenia albiceps","White-crested Elaenia","Fío-fío",2.54545454545455,0.207304622745298,2.4,0.4,1.22222222222222,0.364302140239,1.44444444444444,0.337931251683234,0,0,0.3,0.3,0.1,0.1,2,0.516397779494322,0.1,0.1,0.888888888888889,0.227071277987454,0.6,0.305505046330389,1,0.298142396999972,0.4,0.221108319357027,0.8,0.290593262902712,0.333333333333333,0.14213381090374
"TACMEY","Tachycineta meyeni","Chilean Swallow","Golondrina Chilena",0,0,0,0,0,0,0,0,0,0,0.3,0.213437474581095,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARBAR","Carduelis barbatus","Black-chinned Siskin","Jilguero",0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,1.2,0.3590109871423,0,0,0.111111111111111,0.111111111111111,0,0,0,0,0,0,0,0,0.0833333333333333,0.0833333333333333
"SEPSEP","Sephanoides sephanoides","Green-backed Firecrown","Picaflor Chico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"APHSPI","Aphrastura spinicauda","Thorn-tailed Rayadito","Rayadito",1.36363636363636,0.576395181241722,1.8,0.553774924194538,0.444444444444444,0.293972367896066,1,0.52704627669473,0.1,0.1,1.5,0.453382350291181,0,0,1.5,0.582141639885766,1.1,0.585946527708232,1.22222222222222,0.338736170453593,1,0.394405318873308,0.3,0.213437474581095,0.3,0.3,0.5,0.341565025531987,0,0
"MILCHI","Milvago chimango","Chimango Caracara","Tiuque",0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.133333333333333,0,0,0.3,0.152752523165195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARPLA","Caracara plancus","Southern Caracara","Traro",0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TURFAL","Turdus falcklandii","Austral Thrush","Zorzal",1.18181818181818,0.67174375279677,0.2,0.133333333333333,0.111111111111111,0.111111111111111,0,0,0,0,0.5,0.341565025531987,0.1,0.1,0.3,0.213437474581095,0,0,0,0,0.1,0.1,0.2,0.2,0,0,0,0,0,0
